epoch,index,onset_time,accuracy,pre_trial_accuracy,response_time,condition_stimulus,condition_cue,stimulus_shape,stimulus_location,num_checks,motivation,rewarded_time,production,delivered_reward,passed_time,received_reward,:u_CHECK-PASS,:u_DONT-CHECK
0,1,0.58,1.0,NaN,0.7080000000000001,incongruent,invalid,SQUARE,LEFT,1,1,2.816,CHECK-PASS-M3,1,0.3,0.7,0.496,0.20640002
0,2,2.212,1.0,post-correct,0.46399999999999997,incongruent,valid,SQUARE,LEFT,1,1,5.267,DONT-CHECK,0,1.298,-1.298,0.496,-0.277216
0,3,3.446,0.0,post-correct,0.7029999999999998,incongruent,invalid,SQUARE,LEFT,1,1,6.495,CHECK-PASS-M3,1,0.3,0.7,0.5776,-0.277216
0,4,5.897,1.0,post-error,0.4580000000000002,incongruent,valid,CIRCLE,RIGHT,1,1,7.722,CHECK-PASS-M3,1,0.3,0.7,0.62656,-0.277216
0,5,7.125,1.0,post-correct,0.45699999999999985,congruent,valid,CIRCLE,LEFT,1,1,8.973,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.647936,-0.277216
0,6,8.352,1.0,post-correct,0.48099999999999987,congruent,valid,SQUARE,RIGHT,1,1,10.211,CHECK-PASS-M3,1,0.3,0.7,0.6687616,-0.277216
0,7,9.603,1.0,post-correct,0.46799999999999997,incongruent,valid,SQUARE,LEFT,1,1,11.452,CHECK-PASS-M3,1,0.3,0.7,0.68125695,-0.277216
0,8,10.841,1.0,post-correct,0.4710000000000001,congruent,invalid,SQUARE,RIGHT,1,1,13.269,DONT-CHECK,0,0.671,-0.671,0.68125695,-0.30083776
0,9,12.082,0.0,post-correct,0.6759999999999984,incongruent,invalid,CIRCLE,RIGHT,1,1,14.502,CHECK-PASS-M3,1,0.3,0.7,0.68875414,-0.30083776
0,10,13.899,1.0,post-error,0.46300000000000097,incongruent,valid,SQUARE,LEFT,1,1,16.332,DONT-CHECK,0,0.682,-0.682,0.68875414,-0.3119816
0,11,15.132,0.0,post-correct,0.6980000000000004,incongruent,invalid,SQUARE,LEFT,1,1,17.585,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6852525,-0.3119816
0,12,16.962,1.0,post-error,0.48300000000000054,incongruent,valid,SQUARE,LEFT,1,1,18.816,CHECK-PASS-M3,1,0.3,0.7,0.6911515,-0.3119816
0,13,18.215,1.0,post-correct,0.4609999999999985,congruent,valid,SQUARE,RIGHT,1,1,20.415,DONT-CHECK,0,0.46,-0.46,0.6911515,-0.26271337
0,14,19.446,1.0,post-correct,0.6689999999999969,incongruent,invalid,SQUARE,LEFT,1,1,21.663,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6866909,-0.26271337
0,15,21.045,1.0,post-correct,0.477999999999998,congruent,valid,CIRCLE,LEFT,1,1,22.918,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.68401456,-0.26271337
0,16,22.293,1.0,post-correct,0.48499999999999943,congruent,invalid,SQUARE,RIGHT,1,1,24.166,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.68240875,-0.26271337
0,17,23.548,1.0,post-correct,0.47800000000000153,incongruent,valid,CIRCLE,RIGHT,1,1,25.396,CHECK-PASS-M3,1,0.3,0.7,0.68944526,-0.26271337
0,18,24.796,1.0,post-correct,0.46000000000000085,incongruent,invalid,CIRCLE,RIGHT,1,1,26.625,CHECK-PASS-M3,1,0.3,0.7,0.6936672,-0.26271337
0,19,26.026,1.0,post-correct,0.45899999999999963,incongruent,valid,CIRCLE,RIGHT,1,1,27.854,CHECK-PASS-M3,1,0.3,0.7,0.6962003,-0.26271337
0,20,27.255,1.0,post-correct,0.45899999999999963,congruent,valid,CIRCLE,LEFT,1,1,29.084,CHECK-PASS-M3,1,0.3,0.7,0.69772017,-0.26271337
0,21,28.484,1.0,post-correct,0.4599999999999973,congruent,invalid,CIRCLE,LEFT,1,1,30.334,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6906321,-0.26271337
0,22,29.714,1.0,post-correct,0.4800000000000004,congruent,invalid,SQUARE,RIGHT,1,1,31.584,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.68637925,-0.26271337
0,23,30.964,1.0,post-correct,0.4800000000000004,congruent,invalid,CIRCLE,LEFT,1,1,32.813,CHECK-PASS-M3,1,0.3,0.7,0.69182754,-0.26271337
0,24,32.214,1.0,post-correct,0.4590000000000032,incongruent,valid,CIRCLE,RIGHT,1,1,34.042,CHECK-PASS-M3,1,0.3,0.7,0.6950965,-0.26271337
0,25,33.443,1.0,post-correct,0.4590000000000032,congruent,invalid,CIRCLE,LEFT,1,1,35.658,DONT-CHECK,0,0.475,-0.475,0.6950965,-0.24857682
0,26,34.672,1.0,post-correct,0.6910000000000025,incongruent,invalid,SQUARE,LEFT,1,1,36.908,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6890579,-0.24857682
0,27,36.288,1.0,post-correct,0.480000000000004,congruent,valid,CIRCLE,LEFT,1,1,38.139,CHECK-PASS-M3,1,0.3,0.7,0.6934347,-0.24857682
0,28,37.538,1.0,post-correct,0.4610000000000056,incongruent,valid,CIRCLE,RIGHT,1,1,39.375,CHECK-PASS-M3,1,0.3,0.7,0.69606084,-0.24857682
0,29,38.769,1.0,post-correct,0.4660000000000011,incongruent,valid,CIRCLE,RIGHT,1,1,40.628,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6896365,-0.24857682
0,30,40.005,1.0,post-correct,0.482999999999997,incongruent,valid,SQUARE,LEFT,1,1,42.242,DONT-CHECK,0,0.475,-0.475,0.6896365,-0.24348764
0,31,41.258,1.0,post-correct,0.6890000000000001,incongruent,invalid,CIRCLE,RIGHT,1,1,43.863,DONT-CHECK,0,0.479,-0.479,0.6896365,-0.24261555
0,32,42.872,1.0,post-correct,0.6920000000000002,incongruent,invalid,SQUARE,LEFT,1,1,45.093,CHECK-PASS-M3,1,0.3,0.7,0.6937819,-0.24261555
0,33,44.493,1.0,post-correct,0.46000000000000085,congruent,valid,SQUARE,RIGHT,1,1,46.323,CHECK-PASS-M3,1,0.3,0.7,0.69626915,-0.24261555
0,34,45.723,1.0,post-correct,0.46000000000000085,congruent,invalid,SQUARE,RIGHT,1,1,47.943,DONT-CHECK,0,0.478,-0.478,0.69626915,-0.2420616
0,35,46.953,0.0,post-correct,0.6920000000000002,incongruent,invalid,SQUARE,LEFT,1,1,49.173,CHECK-PASS-M3,1,0.3,0.7,0.6977615,-0.2420616
0,36,48.573,1.0,post-error,0.46000000000000085,incongruent,invalid,CIRCLE,RIGHT,1,1,50.402,CHECK-PASS-M3,1,0.3,0.7,0.69865686,-0.2420616
0,37,49.803,1.0,post-correct,0.4590000000000032,congruent,invalid,CIRCLE,LEFT,1,1,51.656,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6911941,-0.2420616
0,38,51.032,1.0,post-correct,0.48400000000000176,congruent,invalid,SQUARE,RIGHT,1,1,52.906,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6867165,-0.2420616
0,39,52.286,1.0,post-correct,0.4799999999999969,incongruent,valid,CIRCLE,RIGHT,1,1,54.135,CHECK-PASS-M3,1,0.3,0.7,0.6920299,-0.2420616
0,40,53.536,1.0,post-correct,0.4589999999999961,congruent,valid,CIRCLE,LEFT,1,1,55.387,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.68721795,-0.2420616
0,41,54.765,1.0,post-correct,0.4819999999999993,congruent,invalid,SQUARE,RIGHT,1,1,56.618,CHECK-PASS-M3,1,0.3,0.7,0.6923308,-0.2420616
0,42,56.017,1.0,post-correct,0.4609999999999985,congruent,valid,SQUARE,RIGHT,1,1,57.868,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6873985,-0.2420616
0,43,57.248,1.0,post-correct,0.480000000000004,congruent,invalid,CIRCLE,LEFT,1,1,59.119,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6844391,-0.2420616
0,44,58.498,1.0,post-correct,0.48100000000000165,congruent,invalid,SQUARE,RIGHT,1,1,60.368,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6826635,-0.2420616
0,45,59.749,1.0,post-correct,0.4789999999999992,incongruent,invalid,CIRCLE,RIGHT,1,1,61.596,CHECK-PASS-M3,1,0.3,0.7,0.6895981,-0.2420616
0,46,60.998,1.0,post-correct,0.4580000000000055,incongruent,valid,CIRCLE,RIGHT,1,1,62.845,CHECK-PASS-M3,1,0.32,0.6799999999999999,0.6857588,-0.2420616
