epoch,index,onset_time,accuracy,pre_trial_accuracy,response_time,condition_stimulus,condition_cue,stimulus_shape,stimulus_location,num_checks,motivation,rewarded_time,production,delivered_reward,passed_time,received_reward
0,40,53.865,1.0,post-correct,0.46000000000000085,incongruent,valid,CIRCLE,RIGHT,1,1,56.087,DONT-CHECK,0,0.478,-0.478
0,41,55.095,0.0,post-correct,0.6940000000000026,congruent,invalid,CIRCLE,LEFT,1,1,57.316,CHECK-PASS-M3,1,0.3,0.7
0,42,56.717,1.0,post-error,0.4590000000000032,incongruent,invalid,SQUARE,LEFT,1,1,58.566,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,43,57.946,1.0,post-correct,0.480000000000004,incongruent,invalid,CIRCLE,RIGHT,1,1,60.162,DONT-CHECK,0,0.457,-0.457
0,44,59.196,1.0,post-correct,0.669000000000004,incongruent,invalid,CIRCLE,RIGHT,1,1,61.412,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,45,60.792,1.0,post-correct,0.4799999999999969,congruent,valid,SQUARE,RIGHT,1,1,62.645,CHECK-PASS-M3,1,0.3,0.7
0,46,62.042,1.0,post-correct,0.46300000000000097,congruent,invalid,SQUARE,RIGHT,1,1,63.875,CHECK-PASS-M3,1,0.3,0.7
0,47,63.275,1.0,post-correct,0.46000000000000085,incongruent,valid,SQUARE,LEFT,1,1,65.127,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,48,64.505,1.0,post-correct,0.4819999999999993,incongruent,invalid,CIRCLE,RIGHT,1,1,66.375,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,49,65.757,1.0,post-correct,0.47799999999999443,congruent,invalid,SQUARE,RIGHT,1,1,67.628,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,50,67.005,1.0,post-correct,0.4830000000000041,incongruent,valid,CIRCLE,RIGHT,1,1,68.859,CHECK-PASS-M3,1,0.3,0.7
0,51,68.258,1.0,post-correct,0.4609999999999985,congruent,valid,CIRCLE,LEFT,1,1,70.108,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,52,69.489,1.0,post-correct,0.4789999999999992,congruent,valid,SQUARE,RIGHT,1,1,71.357,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,53,70.738,1.0,post-correct,0.4789999999999992,incongruent,valid,CIRCLE,RIGHT,1,1,72.587,CHECK-PASS-M3,1,0.3,0.7
0,54,71.987,1.0,post-correct,0.46000000000000796,congruent,invalid,CIRCLE,LEFT,1,1,73.835,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,55,73.217,1.0,post-correct,0.47799999999999443,congruent,invalid,SQUARE,RIGHT,1,1,75.063,CHECK-PASS-M3,1,0.3,0.7
0,56,74.465,1.0,post-correct,0.4579999999999984,incongruent,valid,SQUARE,LEFT,1,1,76.314,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,57,75.693,1.0,post-correct,0.48100000000000875,congruent,invalid,CIRCLE,LEFT,1,1,77.542,CHECK-PASS-M3,1,0.3,0.7
0,58,76.944,1.0,post-correct,0.4579999999999984,congruent,valid,CIRCLE,LEFT,1,1,78.772,CHECK-PASS-M3,1,0.3,0.7
0,59,78.172,1.0,post-correct,0.46000000000000796,incongruent,valid,CIRCLE,RIGHT,1,1,80.022,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,60,79.402,1.0,post-correct,0.480000000000004,incongruent,invalid,SQUARE,LEFT,1,1,81.272,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,61,80.652,1.0,post-correct,0.480000000000004,congruent,invalid,CIRCLE,LEFT,1,1,82.501,CHECK-PASS-M3,1,0.3,0.7
0,62,81.902,1.0,post-correct,0.4590000000000032,congruent,valid,CIRCLE,LEFT,1,1,83.749,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,63,83.131,1.0,post-correct,0.47799999999999443,incongruent,valid,SQUARE,LEFT,1,1,85.001,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,64,84.379,1.0,post-correct,0.4819999999999993,congruent,invalid,CIRCLE,LEFT,1,1,86.25,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,65,85.631,1.0,post-correct,0.4789999999999992,congruent,invalid,SQUARE,RIGHT,1,1,87.479,CHECK-PASS-M3,1,0.3,0.7
0,66,86.88,1.0,post-correct,0.4590000000000032,incongruent,valid,SQUARE,LEFT,1,1,88.708,CHECK-PASS-M3,1,0.3,0.7
0,67,88.109,1.0,post-correct,0.4590000000000032,incongruent,valid,SQUARE,LEFT,1,1,89.957,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,68,89.338,1.0,post-correct,0.4789999999999992,incongruent,valid,CIRCLE,RIGHT,1,1,91.208,CHECK-PASS-M3,1,0.32,0.6799999999999999
0,69,90.587,1.0,post-correct,0.48099999999999454,incongruent,invalid,SQUARE,LEFT,1,1,92.436,CHECK-PASS-M3,1,0.3,0.7
0,70,91.838,1.0,post-correct,0.4580000000000126,congruent,valid,SQUARE,RIGHT,1,1,93.665,CHECK-PASS-M3,1,0.3,0.7
