trial,production,rewarded_time,delivered_reward,passed_time,received_reward
1,P8,0.133,8.808,0.083,8.725
2,P8,0.658,8.808,0.083,8.725
3,P8,1.372,8.808,0.083,8.725
4,P8,1.791,8.808,0.083,8.725
5,P8,2.513,8.808,0.083,8.725
6,P8,3.223,8.808,0.083,8.725
7,P8,3.884,8.808,0.083,8.725
8,P8,4.583,8.808,0.083,8.725
9,P8,5.175,8.808,0.083,8.725
10,P8,5.723,8.808,0.083,8.725
11,P8,6.218,8.808,0.083,8.725
12,P8,6.707,8.808,0.083,8.725
13,P8,7.147,8.808,0.083,8.725
14,P8,7.58,8.808,0.083,8.725
15,P8,8.141,8.808,0.083,8.725
16,P8,9.065,8.808,0.083,8.725
17,P8,9.45,8.808,0.083,8.725
1,P10,0.155,9.8201,0.105,9.7151
2,P10,0.731,9.8201,0.105,9.7151
3,P10,1.223,9.8201,0.105,9.7151
4,P10,1.743,9.8201,0.105,9.7151
5,P10,2.749,9.8201,0.105,9.7151
6,P10,3.254,9.8201,0.105,9.7151
7,P10,3.952,9.8201,0.105,9.7151
8,P10,4.415,9.8201,0.105,9.7151
9,P10,5.085,9.8201,0.105,9.7151
10,P10,5.751,9.8201,0.105,9.7151
11,P10,6.215,9.8201,0.105,9.7151
12,P10,7.149,9.8201,0.105,9.7151
13,P10,7.641,9.8201,0.105,9.7151
14,P10,8.19,9.8201,0.105,9.7151
15,P10,8.744,9.8201,0.105,9.7151
16,P10,9.336,9.8201,0.105,9.7151
17,P10,9.892,9.8201,0.105,9.7151
1,P4,0.091,1.192,0.041,1.151
2,P7,0.677,7.3106,0.072,7.2386
3,P7,1.075,7.3106,0.072,7.2386
4,P7,1.495,7.3106,0.072,7.2386
5,P7,1.947,7.3106,0.072,7.2386
6,P7,2.841,7.3106,0.072,7.2386
7,P7,3.456,7.3106,0.072,7.2386
8,P7,4.082,7.3106,0.072,7.2386
9,P7,4.632,7.3106,0.072,7.2386
10,P7,5.126,7.3106,0.072,7.2386
11,P7,5.566,7.3106,0.072,7.2386
12,P7,6.152,7.3106,0.072,7.2386
13,P7,6.669,7.3106,0.072,7.2386
14,P7,7.316,7.3106,0.072,7.2386
15,P7,7.945,7.3106,0.072,7.2386
16,P7,8.536,7.3106,0.072,7.2386
17,P7,8.915,7.3106,0.072,7.2386
18,P7,9.335,7.3106,0.072,7.2386
19,P7,9.847,7.3106,0.072,7.2386
1,P2,0.07,0.1799,0.02,0.15990000000000001
2,P7,0.637,7.3106,0.072,7.2386
3,P7,1.151,7.3106,0.072,7.2386
4,P7,1.802,7.3106,0.072,7.2386
5,P7,2.407,7.3106,0.072,7.2386
6,P7,2.923,7.3106,0.072,7.2386
7,P7,3.518,7.3106,0.072,7.2386
8,P7,4.101,7.3106,0.072,7.2386
9,P7,4.564,7.3106,0.072,7.2386
10,P7,5.181,7.3106,0.072,7.2386
11,P7,5.708,7.3106,0.072,7.2386
12,P7,6.233,7.3106,0.072,7.2386
13,P7,6.619,7.3106,0.072,7.2386
14,P7,7.053,7.3106,0.072,7.2386
15,P7,7.701,7.3106,0.072,7.2386
16,P7,8.296,7.3106,0.072,7.2386
17,P7,8.862,7.3106,0.072,7.2386
18,P7,9.39,7.3106,0.072,7.2386
19,P7,9.755,7.3106,0.072,7.2386
1,P6,0.112,5.0,0.062,4.938
2,P5,0.526,2.6894,0.051,2.6384
3,P6,1.166,5.0,0.062,4.938
4,P6,1.796,5.0,0.062,4.938
5,P6,2.339,5.0,0.062,4.938
6,P6,3.121,5.0,0.062,4.938
7,P6,3.792,5.0,0.062,4.938
8,P6,4.463,5.0,0.062,4.938
9,P6,5.145,5.0,0.062,4.938
10,P6,5.692,5.0,0.062,4.938
11,P6,6.454,5.0,0.062,4.938
12,P6,7.088,5.0,0.062,4.938
13,P6,7.873,5.0,0.062,4.938
14,P6,8.394,5.0,0.062,4.938
15,P6,8.891,5.0,0.062,4.938
16,P6,9.463,5.0,0.062,4.938
17,P6,9.877,5.0,0.062,4.938
1,P4,0.091,1.192,0.041,1.151
2,P4,0.682,1.192,0.041,1.151
3,P4,1.162,1.192,0.041,1.151
4,P5,1.778,2.6894,0.051,2.6384
5,P4,2.29,1.192,0.041,1.151
6,P4,2.904,1.192,0.041,1.151
7,P4,3.848,1.192,0.041,1.151
8,P5,4.434,2.6894,0.051,2.6384
9,P4,5.294,1.192,0.041,1.151
10,P5,5.965,2.6894,0.051,2.6384
11,P5,6.655,2.6894,0.051,2.6384
12,P5,7.209,2.6894,0.051,2.6384
13,P5,7.642,2.6894,0.051,2.6384
14,P5,8.244,2.6894,0.051,2.6384
15,P5,9.216,2.6894,0.051,2.6384
16,P5,9.724,2.6894,0.051,2.6384
1,P5,0.101,2.6894,0.051,2.6384
2,P5,0.432,2.6894,0.051,2.6384
3,P6,1.121,5.0,0.062,4.938
4,P6,1.716,5.0,0.062,4.938
5,P6,2.285,5.0,0.062,4.938
6,P6,2.812,5.0,0.062,4.938
7,P6,3.316,5.0,0.062,4.938
8,P6,3.828,5.0,0.062,4.938
9,P6,4.626,5.0,0.062,4.938
10,P6,4.987,5.0,0.062,4.938
11,P6,5.67,5.0,0.062,4.938
12,P6,6.332,5.0,0.062,4.938
13,P6,6.878,5.0,0.062,4.938
14,P6,7.346,5.0,0.062,4.938
15,P6,7.787,5.0,0.062,4.938
16,P6,8.247,5.0,0.062,4.938
17,P6,8.703,5.0,0.062,4.938
18,P6,9.112,5.0,0.062,4.938
19,P6,9.523,5.0,0.062,4.938
1,P1,0.06,0.0669,0.01,0.0569
2,P10,0.574,9.8201,0.105,9.7151
3,P10,1.041,9.8201,0.105,9.7151
4,P10,1.739,9.8201,0.105,9.7151
5,P10,2.419,9.8201,0.105,9.7151
6,P10,3.15,9.8201,0.105,9.7151
7,P10,3.658,9.8201,0.105,9.7151
8,P10,4.53,9.8201,0.105,9.7151
9,P10,5.334,9.8201,0.105,9.7151
10,P10,5.869,9.8201,0.105,9.7151
11,P10,6.595,9.8201,0.105,9.7151
12,P10,7.223,9.8201,0.105,9.7151
13,P10,7.722,9.8201,0.105,9.7151
14,P10,8.319,9.8201,0.105,9.7151
15,P10,9.417,9.8201,0.105,9.7151
16,P10,9.918,9.8201,0.105,9.7151
1,P5,0.101,2.6894,0.051,2.6384
2,P9,0.53,9.5257,0.094,9.431700000000001
