epoch,production,u,utility,delivered_reward
13,P7,7.2329273,6.877287,7.3106
13,P8,0.0,0.30619386,8.808
13,P9,0.0,-1.3472494,9.5257
13,P10,0.0,-1.2084378,9.8201
14,P1,0.0,-1.3690126,0.0669
14,P2,0.0,-1.0089908,0.1799
14,P3,0.0,0.8530743,0.4743
14,P4,0.46040002,0.30676997,1.192
14,P5,0.0,-0.58867085,2.6894
14,P6,4.9366074,4.3491526,5.0
14,P7,0.0,0.5294912,7.3106
14,P8,0.0,-0.226208,8.808
14,P9,0.0,0.2945765,9.5257
14,P10,0.0,-0.2446737,9.8201
15,P1,0.0,-0.27900082,0.0669
15,P2,0.0,-0.8175742,0.1799
15,P3,0.0,-0.7997612,0.4743
15,P4,0.0,0.1310262,1.192
15,P5,0.0,0.29837972,2.6894
15,P6,4.9371643,4.6138887,5.0
15,P7,0.0,-0.82816815,7.3106
15,P8,0.0,-1.217476,8.808
15,P9,0.0,0.11276583,9.5257
15,P10,0.0,2.055563,9.8201
16,P1,0.0,0.74597406,0.0669
16,P2,0.0,-1.382627,0.1799
16,P3,0.0,0.86632943,0.4743
16,P4,0.0,-1.3197266,1.192
16,P5,0.0,-0.27085096,2.6894
16,P6,0.0,0.101531155,5.0
16,P7,0.0,-1.1442246,7.3106
16,P8,0.0,-0.8600456,8.808
16,P9,0.0,-0.9696185,9.5257
16,P10,9.710532,9.786104,9.8201
17,P1,0.0,1.2737448,0.0669
17,P2,0.0,-0.43965158,0.1799
17,P3,0.0,-0.056643788,0.4743
17,P4,0.0,0.1988724,1.192
17,P5,0.0,1.0627781,2.6894
17,P6,0.0,0.82625514,5.0
17,P7,0.0,0.5249539,7.3106
17,P8,0.0,1.2572995,8.808
17,P9,9.430103,9.58297,9.5257
17,P10,0.0,1.9046812,9.8201
18,P1,0.0,2.0156453,0.0669
18,P2,0.0,1.7300602,0.1799
18,P3,0.0,0.6123957,0.4743
18,P4,0.0,-0.44803303,1.192
18,P5,0.0,-1.0045365,2.6894
18,P6,0.0,-0.003888519,5.0
18,P7,0.0,0.32404935,7.3106
18,P8,8.723522,8.207469,8.808
18,P9,0.0,-0.014548256,9.5257
18,P10,0.0,1.3367534,9.8201
19,P1,0.0,-1.0510802,0.0669
19,P2,0.0,-1.1096305,0.1799
19,P3,0.17772,2.7959108,0.4743
19,P4,0.0,-0.4192753,1.192
19,P5,0.0,0.3554221,2.6894
19,P6,4.9341307,2.8641207,5.0
19,P7,0.0,-0.34774047,7.3106
19,P8,0.0,-0.33930907,8.808
19,P9,0.0,-0.22848566,9.5257
19,P10,0.0,0.29643115,9.8201
20,P1,0.0,0.6900575,0.0669
20,P2,0.0,-0.4809997,0.1799
20,P3,0.0,0.1704393,0.4743
20,P4,0.0,-0.8100518,1.192
20,P5,0.0,0.1336294,2.6894
20,P6,0.0,0.19328316,5.0
20,P7,0.0,-2.0940115,7.3106
20,P8,0.0,0.5691517,8.808
20,P9,0.0,0.991814,9.5257
20,P10,9.702412,9.819305,9.8201
21,P1,0.0,0.92239565,0.0669
21,P2,0.06396001,-0.47199917,0.1799
21,P3,0.0,0.53699934,0.4743
21,P4,0.0,0.14200757,1.192
21,P5,0.0,0.46185812,2.6894
21,P6,4.9374986,4.9596276,5.0
21,P7,0.0,-0.52256775,7.3106
21,P8,0.0,0.62297606,8.808
21,P9,0.0,0.740206,9.5257
21,P10,0.0,-0.7015081,9.8201
22,P1,0.0,1.2799802,0.0669
22,P2,0.0,-0.12083941,0.1799
22,P3,0.0,-0.07512112,0.4743
22,P4,0.0,0.5641212,1.192
22,P5,0.0,0.20445003,2.6894
22,P6,0.0,-1.0148908,5.0
22,P7,0.0,-0.20340623,7.3106
22,P8,0.0,1.0774751,8.808
22,P9,9.429039,7.863434,9.5257
22,P10,0.0,0.42175224,9.8201
23,P1,0.0,-0.95464665,0.0669
23,P2,0.0,-0.13963838,0.1799
23,P3,0.0,0.1977826,0.4743
23,P4,0.0,1.051027,1.192
23,P5,0.0,-0.54367477,2.6894
23,P6,0.0,-1.1638793,5.0
23,P7,0.0,-0.9524604,7.3106
23,P8,0.0,-0.5796605,8.808
23,P9,9.430742,8.574732,9.5257
23,P10,0.0,-1.5798923,9.8201
24,P1,0.0,0.23890433,0.0669
24,P2,0.0,0.6904756,0.1799
24,P3,0.0,1.7627693,0.4743
24,P4,0.0,0.47360724,1.192
24,P5,1.6885761,0.803345,2.6894
24,P6,0.0,0.7014111,5.0
24,P7,0.0,0.2630245,7.3106
24,P8,0.0,0.5683592,8.808
24,P9,0.0,0.025653064,9.5257
24,P10,9.707487,8.699638,9.8201
25,P1,0.0,-0.45910814,0.0669
25,P2,0.0,0.17751385,0.1799
25,P3,0.0,0.5838206,0.4743
25,P4,0.46040002,2.2327979,1.192
25,P5,0.0,0.20725526,2.6894
25,P6,0.0,-0.6211696,5.0
25,P7,0.0,-0.1937121,7.3106
25,P8,8.720898,10.546683,8.808
25,P9,0.0,-1.7647104,9.5257
25,P10,0.0,0.5864718,9.8201
26,P1,0.0,-0.550802,0.0669
26,P2,0.0,-0.5750505,0.1799
26,P3,0.0,0.14511192,0.4743
26,P4,0.0,0.7834638,1.192
26,P5,0.0,0.436341,2.6894
26,P6,4.9374986,5.824693,5.0
26,P7,0.0,1.3968014,7.3106
26,P8,0.0,-0.056006853,8.808
26,P9,0.0,-0.29917702,9.5257
26,P10,0.0,1.1128638,9.8201
27,P1,0.0,0.42545223,0.0669
27,P2,0.0,-0.3001111,0.1799
27,P3,0.0,0.97585326,0.4743
27,P4,0.0,1.1970828,1.192
27,P5,0.0,1.1007501,2.6894
27,P6,0.0,-0.6085399,5.0
27,P7,7.2373743,7.8556523,7.3106
27,P8,0.0,-0.2574877,8.808
27,P9,0.0,-0.003917714,9.5257
27,P10,0.0,-1.6264985,9.8201
28,P1,0.0,-0.71312696,0.0669
28,P2,0.0,-0.64190644,0.1799
28,P3,0.0,-0.010649125,0.4743
28,P4,0.0,-0.14115964,1.192
28,P5,0.0,-1.155784,2.6894
28,P6,0.0,0.7750456,5.0
28,P7,0.0,0.3259598,7.3106
28,P8,0.0,0.35435426,8.808
28,P9,9.429039,8.990218,9.5257
28,P10,0.0,0.23927808,9.8201
29,P1,0.0,-0.823572,0.0669
29,P2,0.0,-0.95283103,0.1799
29,P3,0.0,0.5198162,0.4743
29,P4,0.0,-0.66543376,1.192
29,P5,0.0,-0.22732809,2.6894
29,P6,0.0,-0.73487014,5.0
29,P7,0.0,0.98689944,7.3106
29,P8,0.0,-0.33214697,8.808
29,P9,0.0,2.7577713,9.5257
29,P10,9.712359,9.728687,9.8201
30,P1,0.0,0.48317963,0.0669
30,P2,0.0,0.3638328,0.1799
30,P3,0.0,2.110854,0.4743
30,P4,0.0,0.81101,1.192
30,P5,0.0,0.071473494,2.6894
30,P6,0.0,-0.14390497,5.0
30,P7,0.0,0.93776894,7.3106
30,P8,0.0,-0.13040021,8.808
30,P9,0.0,0.35736233,9.5257
30,P10,9.710532,9.301172,9.8201
31,P1,0.0,-1.6569427,0.0669
31,P2,0.0,0.28962168,0.1799
31,P3,0.0,0.21317177,0.4743
31,P4,0.0,0.9364548,1.192
31,P5,0.0,1.330307,2.6894
31,P6,0.0,1.0997791,5.0
31,P7,0.0,0.06132002,7.3106
31,P8,8.724113,9.312144,8.808
31,P9,0.0,0.29049242,9.5257
31,P10,0.0,-0.1278712,9.8201
32,P1,0.0,-1.0041736,0.0669
32,P2,0.0,-1.2815756,0.1799
32,P3,0.17772,0.22039911,0.4743
32,P4,0.0,-0.31530946,1.192
32,P5,1.6885761,0.7834732,2.6894
32,P6,0.0,0.043273605,5.0
32,P7,0.0,-0.80484825,7.3106
32,P8,0.0,1.0805607,8.808
32,P9,9.411169,8.224807,9.5257
32,P10,0.0,0.18911175,9.8201
33,P1,0.022760002,0.1897722,0.0669
33,P2,0.06396001,-0.08097271,0.1799
33,P3,0.17772,-0.90604454,0.4743
33,P4,0.0,-0.13499136,1.192
33,P5,1.0553601,1.5571074,2.6894
33,P6,0.0,-0.1253891,5.0
33,P7,0.0,-1.0010432,7.3106
33,P8,8.718163,9.725604,8.808
33,P9,0.0,-1.063045,9.5257
33,P10,0.0,0.48716047,9.8201
34,P1,0.022760002,-0.5328919,0.0669
34,P2,0.0,0.0901765,0.1799
34,P3,0.17772,0.9625398,0.4743
34,P4,0.0,1.1131094,1.192
34,P5,0.0,-0.68343484,2.6894
34,P6,3.16032,3.1162486,5.0
34,P7,7.229146,5.9963593,7.3106
34,P8,0.0,-0.093092345,8.808
34,P9,0.0,-0.9874687,9.5257
34,P10,0.0,1.4288117,9.8201
35,P1,0.022760002,-0.041830838,0.0669
35,P2,0.0,0.072207995,0.1799
35,P3,0.17772,-0.83418053,0.4743
35,P4,0.0,-0.9610116,1.192
35,P5,0.0,-0.9335667,2.6894
35,P6,0.0,1.1539139,5.0
35,P7,7.235196,7.4299207,7.3106
35,P8,0.0,-0.1229428,8.808
35,P9,0.0,-1.0167845,9.5257
35,P10,0.0,-0.18727663,9.8201
36,P1,0.0,-0.5804051,0.0669
36,P2,0.0,-0.23225905,0.1799
36,P3,0.0,-1.0425184,0.4743
36,P4,0.46040002,0.17284873,1.192
36,P5,0.0,3.9076016,2.6894
36,P6,4.9341307,4.966127,5.0
36,P7,0.0,-0.2289727,7.3106
36,P8,0.0,0.50176114,8.808
36,P9,0.0,0.20658088,9.5257
36,P10,0.0,0.25227225,9.8201
37,P1,0.0,-0.7946138,0.0669
37,P2,0.0,-0.48025507,0.1799
37,P3,0.0,0.3912197,0.4743
37,P4,0.46040002,1.0387523,1.192
37,P5,0.0,0.25161928,2.6894
37,P6,0.0,0.022758706,5.0
37,P7,0.0,-0.37958306,7.3106
37,P8,8.724113,10.206528,8.808
37,P9,0.0,0.26152602,9.5257
37,P10,0.0,0.41893312,9.8201
38,P1,0.0,-1.1191876,0.0669
38,P2,0.0,-0.19102165,0.1799
38,P3,0.0,-1.2749369,0.4743
38,P4,0.46040002,0.943051,1.192
38,P5,0.0,-0.27248058,2.6894
38,P6,4.9371643,3.6012075,5.0
38,P7,0.0,0.54983044,7.3106
38,P8,0.0,-0.26817673,8.808
38,P9,0.0,-0.28398076,9.5257
38,P10,0.0,0.36606246,9.8201
39,P1,0.0,-0.41856682,0.0669
39,P2,0.0,-0.60194296,0.1799
39,P3,0.0,0.5425226,0.4743
39,P4,0.0,0.14284545,1.192
39,P5,0.0,-0.10954033,2.6894
39,P6,0.0,-0.0003978106,5.0
39,P7,0.0,1.1382933,7.3106
39,P8,0.0,-0.8968613,8.808
39,P9,9.431126,9.883957,9.5257
39,P10,0.0,-0.8808148,9.8201
40,P1,0.0,-0.5411705,0.0669
40,P2,0.06396001,1.5464697,0.1799
40,P3,0.0,-0.33737114,0.4743
40,P4,0.0,0.49162987,1.192
40,P5,0.0,-0.06533101,2.6894
40,P6,4.9356785,5.5450015,5.0
40,P7,0.0,0.9216485,7.3106
40,P8,0.0,-0.94364244,8.808
40,P9,0.0,0.94721425,9.5257
40,P10,0.0,-0.55590147,9.8201
41,P1,0.0,0.29351458,0.0669
41,P2,0.0,0.21899253,0.1799
41,P3,0.17772,0.8949552,0.4743
41,P4,0.46040002,1.5046209,1.192
41,P5,1.0553601,0.35697317,2.6894
41,P6,4.9356785,5.9911532,5.0
41,P7,0.0,-1.3204947,7.3106
41,P8,0.0,-1.1676103,8.808
41,P9,0.0,0.08624877,9.5257
41,P10,0.0,-1.5765325,9.8201
42,P1,0.0,-0.21802892,0.0669
42,P2,0.0,0.1307189,0.1799
42,P3,0.0,-1.1336195,0.4743
42,P4,0.0,0.101120174,1.192
42,P5,0.0,0.45465,2.6894
42,P6,4.9376993,2.9339201,5.0
42,P7,0.0,0.08561946,7.3106
42,P8,0.0,-0.22361028,8.808
42,P9,0.0,-0.14267923,9.5257
42,P10,0.0,2.0426242,9.8201
43,P1,0.0,0.66689146,0.0669
43,P2,0.0,0.021991938,0.1799
43,P3,0.0,0.6882202,0.4743
43,P4,0.0,-0.078358404,1.192
43,P5,0.0,0.6378223,2.6894
